NOMREG;NOMDEP;FERME;ANNREOUV;NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE
CHAMPAGNE-ARDENNE;ARDENNES;NON;;Musée Arthur Rimbaud;Quai Arthur Rimbaud;8000;CHARLEVILLE-MEZIERES;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm;;10-12,14-18
CHAMPAGNE-ARDENNE;ARDENNES;OUI;;Musée de Givet;Mairie 11, Place Carnot;8600;GIVET;;;9-12,14-17
CHAMPAGNE-ARDENNE;ARDENNES;NON;;Musée du Feutre;Mairie;8210;MOUZON;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_mouzon.html;;
CHAMPAGNE-ARDENNE;ARDENNES;OUI;;Musée du Rethelois et du Porcien;Place Noiret-Chaigneau;8300;RETHEL;;24/12,25/12;sept-18
CHAMPAGNE-ARDENNE;ARDENNES;NON;;Musée du Château-Fort;BP 10322;8200;SEDAN;www.chateau-fort-sedan.fr;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;AUBE;OUI;;Musée Municipal;Hôtel de ville Place Carnot - B.P. 110;10202;BAR-SUR-AUBE CEDEX;;;sept-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée Napoléon Ier;34, Rue de l'Ecole Militaire;10500;BRIENNE-LE-CHATEAU;www.ville-brienne-le-château.fr;11/11,01/12-01/04;13-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée de la Résistance;Rue Boursault;10250;MUSSY-SUR-SEINE;Site de l'OT;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;AUBE;OUI;;Musée Paul Dubois - Alfred Boucher;Rue Gué de la Loge B.P. 40;10401;NOGENT-SUR-SEINE Cedex;www.musee-nogent-sur-seine.fr;01/11-01/04;10-12,14-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée Historique de Troyes et de la Champagne;4, Rue Vauluisant;10000;TROYES;;24/12,25/12,11/11;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée d'Art Moderne;14, Place Saint-Pierre;10000;TROYES;Site de la ville;;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée des Beaux-Arts;1, Rue Chrestien-de-Troyes;10000;TROYES;;01/11-01/04;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Muséum d'Histoire Naturelle;4, Rue Chrestiens de Troyes;10000;TROYES;Site de la ville;;13-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Musée de la Bonneterie;Conservation des Musées  2, rue Chrestien de Troyes;10000;TROYES;www.ville-troyes.fr;;10-12,14-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Pharmacie Musée de l'Hôtel-Dieu;Quai des Comtes-de-Champagne;10000;TROYES;;01/01,01/04,25/12;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;AUBE;NON;;Maison de l'Outil  et de la Pensée Ouvrière;7, Rue de La Trinité;10000;TROYES;www.maison-de-l-outil.com;;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;NON;;Musée Municipal;Pôle Culturel - Médiathèque-musée de France Parc du Château;52400;BOURBONNE-LES-BAINS;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_bourbonne.html;;10-12,14-18
CHAMPAGNE-ARDENNE;HAUTE-MARNE;OUI;;Musée de l'Affiche - médiathèque;7/9, Avenue Foch;52000;CHAUMONT;;;10-12,14-18
CHAMPAGNE-ARDENNE;HAUTE-MARNE;NON;;Musée des Beaux-Arts et d'Archéologie;Place du Palais;52000;CHAUMONT;http://www.ville-chaumont.fr;24/12,25/12;9-12,14-17
CHAMPAGNE-ARDENNE;HAUTE-MARNE;OUI;;Musée du Breuil de Saint-Germain;;52204;LANGRES;;01/01,01/04,25/12;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;HAUTE-MARNE;NON;;Musée d'Art et d'Histoire;Place du Centenaire B.P. 183;52204;LANGRES Cedex;En cours de réalisation;24/12,25/12;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;NON;;Musée de la Coutellerie;Place Charles de Gaulle B.P. 1;52800;NOGENT;http://www.ville-thiers.fr/Musee-de-la-Coutellerie;11/11,01/12-01/04;10-12,14-18
CHAMPAGNE-ARDENNE;HAUTE-MARNE;NON;;Musée Municipal;17, Rue de la Victoire;52100;SAINT-DIZIER;Site de la mairie;;9-12,14-17
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée Garinet;13, rue Pasteur;51000;CHALONS-EN-CHAMPAGNE;;;9-12,14-17
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée Municipal;Place Alexandre Godart;51000;CHALONS-EN-CHAMPAGNE;;11/11,01/12-01/04;9-12,14-17
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée du Cloître de Notre-Dame-en-Vaux;Rue Nicolas Durant;51000;CHALONS-EN-CHAMPAGNE;;01/01,01/04,25/12;sept-18
CHAMPAGNE-ARDENNE;MARNE;OUI;;Musée Municipal d'Epernay;13, Avenue de Champagne;51200;EPERNAY;;24/12,25/12;9-12,14-17
CHAMPAGNE-ARDENNE;MARNE;OUI;;Ecomusée de la Montagne de Reims;Maison du Parc Chemin de Nanteuil;51160;POURCY;www.parc-montagnedereims.fr;01/01,01/04,25/12;13-18
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée Hôtel le Vergeur;36, Place du Forum;51100;REIMS;www.museelevergeur.com;;10-12:30,13:30-18
CHAMPAGNE-ARDENNE;MARNE;OUI;;Musée de l'Ancien Collège des Jésuites;Direction de la Culture de la ville de Reims 1, place Museux;51100;REIMS;;11/11,01/12-01/04;
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée des Beaux-Arts de Saint-Denis;8, Rue Chanzy;51100;REIMS;site de la ville;24/12,25/12,11/11;10-12,14-18
CHAMPAGNE-ARDENNE;MARNE;NON;;Musée Saint-Rémi;53, rue Simon;51100;REIMS;Site de la ville;24/12,25/12,11/11;9-12,14-17
CHAMPAGNE-ARDENNE;MARNE;OUI;;Musée de l'Argonne Viard-Morel;Place Général Leclerc;51800;SAINTE-MENEHOULD;;;9-12,14-17
CORSE;CORSE DU SUD;NON;;Musée de la Maison Bonaparte;Rue Saint-Charles;20000;AJACCIO;www.musee-maisonbonaparte.fr - www.musees-nationaux-napoleoniens.org;01/11-01/04;10-12,14-18
CORSE;CORSE DU SUD;NON;;Musée Fesch;50-52, rue du Cardinal Fesch;20000;AJACCIO;www.musee-fesch.com;24/12,25/12,11/11;13-18
CORSE;CORSE DU SUD;NON;;Musée Napoléonien;Hotel de Ville Avenue Antoine Serafini;20000;AJACCIO;http://www.napoleon.org ou http://www.ajaccio.fr/;;10-12,14-18
CORSE;CORSE DU SUD;NON;;Musée de l'Alta Rocca;Avenue Lieutenant Aviateur de Peretti Quartier Pratu;20170;LEVIE;http://www.levie-altarocca.com;01/01,01/04,25/12;13-18
CORSE;CORSE DU SUD;OUI;;Musée de Préhistoire Corse;Boulevard Jacques Nicolai;20100;SARTENE;;11/11,01/12-01/04;
CORSE;HAUTE-CORSE;NON;;Musée Départemental d'Archéologie d'Aléria;Fort de Matra;20270;ALERIA;www.cg2b.fr;24/12,25/12;
CORSE;HAUTE-CORSE;NON;;Musée de Bastia;Mairie de Bastia Avenue Pierre Giudicelli;20410;BASTIA Cedex;www.musee-bastia.com;24/12,25/12;sept-18
CORSE;HAUTE-CORSE;NON;;Musée de la Corse;La Citadelle B.P. 73;20250;CORTE;www.musee-corse.com;;
CORSE;HAUTE-CORSE;OUI;2016;Musée Archéologique de Mariana - Prince Rainier III de Monaco;Mairie de Lucciana;20290;LUCCIANA;;24/12,25/12,11/11;
CORSE;HAUTE-CORSE;NON;;Musée Départemental Pascal Paoli;Hameau de la Stretta 20261;20218;MOROSAGLIA;www.cg2b.fr;;
FRANCHE-COMTE;DOUBS;NON;;Musée Comtois;LA CITADELLE Rue des Fusillés;25000;BESANCON;www.citadelle.com;11/11,01/12-01/04;10-12:30,13:30-18
FRANCHE-COMTE;DOUBS;NON;;Musée des Beaux-Arts et d'Archéologie;1, Place de la Révolution;25000;BESANCON;www.musee-arts-besancon.org;01/01,01/04,25/12;13-18
FRANCHE-COMTE;DOUBS;NON;;Muséum de Besançon;La Citadelle Rue des Fusillés de la Résistance;25000;BESANCON;Site de la ville;01/11-01/04;10-12,14-18
FRANCHE-COMTE;DOUBS;NON;;Musée de la résistance et de la Déportation;La Citadelle Rue des Fusillés;25000;BESANCON;site de la ville;;13-18
FRANCHE-COMTE;DOUBS;NON;;Musée du Temps;96, Grande rue;25000;BESANCON;www.besancon.fr/museedutemps;;13-18
FRANCHE-COMTE;DOUBS;NON;;Musée Beurnier-Rossel;8, Place Saint-Martin B.P. 95287;25200;MONTBELIARD;Site du pays de Montbeliard;;10-12,14-18
FRANCHE-COMTE;DOUBS;NON;;Musée du Château des Ducs de Wurtemberg;B.P. 95287;25205;MONTBELIARD Cedex;www.château-montbeliard.net ou site du pays de montbeliard;;
FRANCHE-COMTE;DOUBS;NON;;Musée de Plein Air des Maisons Comtoises;Rue du Musée;25360;NANCRAY;www.maisons-comtoises.org;11/11,01/12-01/04;9-12,14-17
FRANCHE-COMTE;DOUBS;NON;;Musée-Maison Natale Gustave Courbet;Place Robert Fernier;25290;ORNANS;http://www.musee-courbet.fr;24/12,25/12;13-18
FRANCHE-COMTE;DOUBS;NON;;Musée de Pontarlier;2, Place d'Arçon;25300;PONTARLIER;Site de la ville;;10-12,14-18
FRANCHE-COMTE;HAUTE-SAONE;NON;;Musée Départemental Albert Demard;Château de Champlitte;70600;CHAMPLITTE;www.cg70.fr/decouvertes/musee;;
FRANCHE-COMTE;HAUTE-SAONE;NON;;Ecomusée du Pays de la Cerise;206, Le Petit Fahyr;70220;FOUGEROLLES;www.musees-des-techniques.org;;sept-18
FRANCHE-COMTE;HAUTE-SAONE;NON;;Musée Baron Martin;6, rue Pigalle B.P. 89;70103;GRAY Cedex;site des musées de la région ou site de la ville;;
FRANCHE-COMTE;HAUTE-SAONE;NON;;Musée Départemental de la Montagne Albert Demard;Château-Lambert;70440;LE HAUT-DU-THEM;www.musees-franchecomte.com;;9-12,14-17
FRANCHE-COMTE;HAUTE-SAONE;NON;;Musée de la Tour des Echevins;36, Rue Victor Genoux;70300;LUXEUIL-LES-BAINS;www.luxeuil.fr;01/11-01/04;
FRANCHE-COMTE;HAUTE-SAONE;NON;;Musée Georges Garret;1, Rue des Ursulines;70000;VESOUL;Site des musées de la région;;13-18
FRANCHE-COMTE;JURA;NON;;Musée Sarret de Grozon;Grande Rue;39600;ARBOIS;Site des musées de la région;;sept-18
FRANCHE-COMTE;JURA;NON;;Musée de la Vigne et du Vin;Château Pécauld B.P. 41;39600;ARBOIS;http://www.juramusees.com/musee-vigne-vin/musee-vigne-vin.htm;01/01,01/04,25/12;10-12:30,13:30-18
FRANCHE-COMTE;JURA;NON;;Musée Municipal d'Archéologie;26, rue Baronne Delort;39300;CHAMPAGNOLE;www.tourisme.champagnole.com;;
