NOMREG;NOMDEP;VILLE;NOM DU MUSEE;ADR;CP;ANNREOUV;FERME;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;;;;;;;;;;
cx;wx;qs;za;re;ds;df;NON;ds;ez;ds
AQUITAINE;GIRONDE;LIBOURNE;Musee des Beaux-Arts et d'Archeologie;42, Place  Abel Surchamp;33500;;NON;www.musees-libourne.org;;
AQUITAINE;GIRONDE;LIBOURNE;Musee Historique ou du Vieux Libourne (Robin);;33500;;OUI;;;
AQUITAINE;GIRONDE;SAINT-EMILION;Musee d'Histoire et d'Archeologique;Logis Mallet;33330;;OUI;;;
AQUITAINE;GIRONDE;VILLANDRAUT;Musee Municipal;Maison Braneyre Impasse Dupeyron;33730;;OUI;;01/11-01/04;
AQUITAINE;LANDES;BISCARROSSE;Musee Historique de l'Hydravion;332, Avenue Louis Breguet;40600;;NON;www.hydravions-biscarrosse.com;24/12,25/12;
AQUITAINE;LANDES;DAX Cedex;Musee de Borda;Mairie de Dax Service du musee Borda 14, Rue Saint Pierre B.P. 50344;40107;;NON;http://www.dax.fr/musee-de-borda - Site des musees aquitains;;
AQUITAINE;LANDES;HASTINGUES;Musee Departemental de Prehistoire;Abbaye d'Arthous;40300;;NON;www.culture-commune.fr - www.arthous.landes.org/;;
AQUITAINE;LANDES;LUXEY;Atelier-Musee  (Ecomusee de la Grande Landes);101, Rue Jacques Desert;40043;;OUI;Site du parc - www.parc-landes-de-gascogne.fr;;
AQUITAINE;LANDES;MONT-DE-MARSAN;Musee Despiau-Wlerick;6, Place Marguerite de Navarre;40000;;NON;www.mont-de-marsan.org/decouvrir/decouv_muse.html ou Site des musees aquitains;01/11-01/04;
AQUITAINE;LANDES;MONTFORT-EN-CHALOSSE;Musee de la Chalosse;Domaine de Carcher 480, Chemin du Sala bp 24 B.P. 24;40380;;NON;www.museedelachalosse.fr;;
AQUITAINE;LANDES;MOUSTEY;Musee du Patrimoine Religieux et des Croyances Populaires;Eglise Notre-Dame;40410;;OUI;Site du parc - www.parc-landes-de-gascogne.fr;;
AQUITAINE;LANDES;SABRES;Ecomusee de la Grande Lande;Route de Soferino;40630;;NON;www.parc-landes-de-gascogne.fr;;
AQUITAINE;LANDES;SAINT-SEVER;Musee Municipal;Rue du General Lamarque;40500;;NON;http://www.saint-sever.fr/culture_musee.htm;01/01,01/04,25/12;
AQUITAINE;LANDES;SAMADET;Musee Departemental de la Faïence et des Arts de la table;2378, Route d'Hagetmau;40320;;NON;www.museesamadet.landes.org;;
AQUITAINE;LANDES;SANGUINET;Musee Municipal du Lac;112, Place de la Mairie;40460;;NON;www.ville-sanguinet.fr;01/01,01/04,25/12;
AQUITAINE;LOT ET GARONNE;AGEN Cedex 9;Musee des Beaux-Arts;Place du Dr Pierre Esquirol;47916;;NON;www.agen.fr/musee;;
AQUITAINE;LOT ET GARONNE;MARMANDE;Musee Municipal Albert Marzelles;15, Rue Abel Boye;47200;;NON;Site des musees aquitains et site de la ville;;
AQUITAINE;LOT ET GARONNE;MEZIN;Musee du Liege et du Bouchon;Rue du Puits Saint COme;47170;;NON;www.cg47.fr;;
AQUITAINE;LOT ET GARONNE;NERAC;Musee du Château Henri IV;Rue Henri IV;47600;;NON;Site des musees aquitains ou www.nerac.fr;;
AQUITAINE;LOT ET GARONNE;SAUVETERRE-LA-LEMANCE;Musee de Prehistoire Mesolithique Laurent Coulonges;Le Bourg;47500;;NON;www.sauveterre-prehistoire.fr ou Site des musees aquitains;24/12,25/12,11/11;
AQUITAINE;LOT ET GARONNE;VILLENEUVE-SUR-LOT;Musee Municipal (Moulin de Gajac);2, Rue du Jardins;47300;;NON;Site de la ville;01/01,01/04,25/12;
AQUITAINE;PYReNeES ATLANTIQUES;ARUDY;Musee Municipal;Rue de l'Eglise;64260;;NON;www.museearudy.com ou www.ot-arudy.fr;;
AQUITAINE;PYReNeES ATLANTIQUES;BAYONNE;Musee Bonnat-Helleu - Musee des Beaux-Arts de Bayonne;5, Rue Jacques-Laffitte;64100;;OUI;www.museebonnat.bayonne.fr;01/11-01/04;
AQUITAINE;PYReNeES ATLANTIQUES;BAYONNE;Museum d'Histoire Naturelle;Mairie de Bayonne Plaine d'Ansot;64100;;NON;www.museum.bayonne.fr ou www.ansot.bayonne.fr;;
AQUITAINE;PYReNeES ATLANTIQUES;BAYONNE;Musee Basque et de l'Histoire de Bayonne;37, Quai des Corsaires;64100;;NON;www.musee-basque.com;;
AQUITAINE;PYReNeES ATLANTIQUES;CAMBO-LES-BAINS;Musee Edmond Rostand;Villa Arnaga Route du Docteur Camino;64250;;NON;www.arnaga.com;;
AQUITAINE;PYReNeES ATLANTIQUES;GUETHARY;Musee Municipal de Guethary;Parc municipal Andre Narbaits  117, Avenue du General de Gaulle;64210;;NON;http://www.musee-de-guethary.fr/ OU Site des musees aquitains;;
AQUITAINE;PYReNeES ATLANTIQUES;PAU;Musee Bernadotte;8, Rue Tran;64000;;NON;site de la ville;01/11-01/04;
AQUITAINE;PYReNeES ATLANTIQUES;PAU;Musee Municipal des Beaux-Arts;Rue Mathieu Lalanne;64000;;NON;http://musee.ville-pau.fr;;
AQUITAINE;PYReNeES ATLANTIQUES;PAU;Musee Bearnais;Association Regionaliste de Pyrenees 7 avenue Henri Faisans;64000;;OUI;;24/12,25/12;
AQUITAINE;PYReNeES ATLANTIQUES;PAU;Musee National du Château;;64000;;NON;www.musee-chateau-pau.fr;24/12,25/12;
AUVERGNE;ALLIER;CERILLY;Musee Charles-Louis Philippe;5, Rue Charles-Louis Philippe;3350;;NON;http://site.voila.fr/Bourbonnais/charles/index.htm;24/12,25/12;
AUVERGNE;ALLIER;GANNAT;Musee Municipal de Gannat;Place Rantian;3800;;NON;http://www.bassin-gannat.com/;01/01,01/04,25/12;
AUVERGNE;ALLIER;IZEURE;Musee Rural de la Sologne Bourbonnaise;Michel LABONNE Secretaire des Amis du Museee 149, Route de Bourgogne;3400;;OUI;;24/12,25/12;
AUVERGNE;ALLIER;MONTLUCON Cedex;Musee des Musiques Populaires;BP 3249 (Château des Ducs de Bourbons);3106;;NON;www.musees-montlucon.com;24/12,25/12,11/11;
AUVERGNE;ALLIER;MOULINS;Centre National du Costume de Scene et de la Scenographie;Quartier Villars Route de montilly;3000;;NON;www.cncs.fr;24/12,25/12,11/11;
AUVERGNE;ALLIER;MOULINS Cedex;Musee Anne de Beaujeu;1, Avenue Victor Hugo B.P. 1669;3016;;NON;www.mab.allier.fr;24/12,25/12;
AUVERGNE;ALLIER;NERIS-LES-BAINS;Musee Rieckotter;HOtel de Ville Boulevard des Arene - B.P. 10;3310;;NON;site de la ville www.ville-neris-les-bains.fr;;
AUVERGNE;ALLIER;SOUVIGNY;Musee Municipal de Souvigny;Place Aristide Briand;3210;;NON;site de la ville www.ville-souvigny.com;11/11,01/12-01/04;
AUVERGNE;ALLIER;VICHY;Musee des Arts D'Afrique et D'Asie;11, Rue Mounin;3200;;NON;www.musee-aaa.com;24/12,25/12;
AUVERGNE;CANTAL;AURILLAC;Musee des Sciences;Château Saint Etienne;15000;;NON;www.aurillac.fr;01/01,01/04,25/12;
AUVERGNE;CANTAL;AURILLAC Cedex;Musee d'Art et d'Archeologie;Centre Culturel Pierre Mendes France 37, rue des Carmes;15012;;NON;www.ville-aurillac.fr;;
AUVERGNE;CANTAL;RUYNES-EN-MARGERIDE;Ecomusee de Margeride-Haute-Auvergne;La Tour Jardin de Saint-Martin;15320;;NON;http://www.saint-flour.fr/culture/musees/ecomusee-margeride.php;;
AUVERGNE;CANTAL;SAINT-FLOUR;Musee de la Haute Auvergne;Palais episcopal 1, Place d'Armes;15100;;NON;www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm;01/11-01/04;
AUVERGNE;CANTAL;SAINT-FLOUR;Musee d'art et d'histoire Alfred Douët;Maison consulaire 17, Place d'Armes;15100;;NON;www.musee-douet.com;24/12,25/12,11/11;
AUVERGNE;HAUTE-LOIRE;CHILHAC;Musee de Paleontologie;Place de l'eglise;43380;;NON;http://www.museechilhac.fr;24/12,25/12;
AUVERGNE;HAUTE-LOIRE;LAVAUDIEU;Musee des Arts et Traditions Populaires de Haute Loire;;43100;;NON;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr;24/12,25/12,11/11;
AUVERGNE;HAUTE-LOIRE;LE PUY-EN-VELAY;Musee Crozatier;Jardin Henri Vinay;43000;;OUI;www.mairie-le-puy-en-velay.fr;;
AUVERGNE;HAUTE-LOIRE;RETOURNAC;Musee des Manufactures de Dentelles;14, avenue de la Gare;43130;;NON;www.ville-retournac.fr/musee/francais/indexfr.htm;11/11,01/12-01/04;
AUVERGNE;HAUTE-LOIRE;SAINT ARCONS D'ALLIER;Musee de la Ferblanterie;;43300;;NON;;24/12,25/12;
AUVERGNE;PUY DE DOME;ARLANC;Musee de la Dentelle;53, Route Nationale;63220;;NON;www.arlanc.com/musee_dentelle.htm;24/12,25/12;
AUVERGNE;PUY DE DOME;CLERMONT-FERRAND;Musee d'Art Roger-Quillot;Quartier historique de Montferrand Place Louis Deteix;63100;;NON;http://museedart.clermont-ferrand.fr;24/12,25/12;
AUVERGNE;PUY DE DOME;CLERMONT-FERRAND;Musee d'Archeologie Bargoin;45, rue Ballainvilliers;63000;;NON;www.clermont-ferrand.fr/-Musee-Bargoin-.html;;
AUVERGNE;PUY DE DOME;CLERMONT-FERRAND;Museum d'Histoire Naturelle Henri-Lecoq;15, rue Bardoux;63000;;NON;www.museelecoq.clermont-ferrand.fr ou www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html;01/11-01/04;
AUVERGNE;PUY DE DOME;LEZOUX;Musee Departemental de la Ceramique Gallo-Romaine;39, Rue de la Republique B.P. 30;63190;;NON;"www.puydedome.fr rubrique ""decouvrir le Puy-de-DOme""";;
AUVERGNE;PUY DE DOME;MARSAC-EN-LIVRADOIS;Musee des Penitents Blancs;Place de l'Eglise;63940;;NON;www.livradois.com/marsac/penitent/index.htm;24/12,25/12,11/11;
AUVERGNE;PUY DE DOME;MENAT;Musee Paleontologique;Le Bourg;63560;;NON;;;
AUVERGNE;PUY DE DOME;MOZAC;Musee Lapidaire;Place de l'Abbaye;63200;;NON;www.riom-communaute.fr;;
AUVERGNE;PUY DE DOME;MUROL;Musee Municipal;Parc du Prelong;63790;;NON;www.musee-murol.net/Musee.htm;;
AUVERGNE;PUY DE DOME;RIOM;Musee Francisque Mandet;14, Rue de l'HOtel de Ville;63200;;NON;www.riom-communaute.fr;01/01,01/04,25/12;
AUVERGNE;PUY DE DOME;RIOM;Musee Regional d'Auvergne;10 bis, Rue Delile;63200;;NON;www.riom-communaute.fr;01/01,01/04,25/12;
AUVERGNE;PUY DE DOME;THIERS;Musee Municipal de la Coutellerie;58, Rue de la Coutellerie;63300;;NON;www.ville-thiers.fr/Musee-de-la-Coutellerie;;
AUVERGNE;PUY DE DOME;VOLVIC;Musee Municipal Marcel Sahut;2, rue des Ecoles;63530;;OUI;www.volvic-tourisme.com/HTML/sites/site_musee.htm;01/01,01/04,25/12;
BOURGOGNE;COTE D’OR;ALISE-SAINTE-REINE;Museoparc - Alesia;1, Route des Trois Ormeaux;21150;;OUI;www.alesia.com;;
BOURGOGNE;COTE D’OR;AUXONNE;Musee Bonaparte;Bibliotheque Municipale Passage Xavier Girault;21130;;OUI;Site des musees de la region ou site de la ville;;
BOURGOGNE;COTE D’OR;BEAUNE;Musee E.J Marey;HOtel de Ville;21200;;OUI;www.musees-bourgogne.org;;
BOURGOGNE;COTE D’OR;BEAUNE;Musee du Vin de Bourgogne;HOtel des Ducs Rue d'Enfer;21200;;NON;www.musees-bourgogne.org ou www.beaune.fr;;
BOURGOGNE;COTE D’OR;BEAUNE;Musee des Beaux-Arts;Porte Marie de Bourgogne 6, boulevard Perpreuil;21200;;NON;www.musees-bourgogne.org ou www.beaune.fr;;
BOURGOGNE;COTE D’OR;BUFFON;Musee de la Siderurgie Grande Forge;La Grande Forge;21500;;OUI;;24/12,25/12;
BOURGOGNE;COTE D’OR;CHATILLON-SUR-SEINE;Musee du Châtillonnais - Tresor de Vix;14, Rue de la Liberation;21400;;NON;www.musee-vix.fr;01/01,01/04,25/12;
BOURGOGNE;COTE D’OR;DIJON;Musee de la Vie Bourguignonne, Perrin de Puycousin;Monastere des Bernardines 15-17, rue Sainte-Anne;21000;;NON;www.musees-bourgogne.org;;
BOURGOGNE;COTE D’OR;DIJON;Musee d'Art Sacre;Monastere des Bernardines 15-17, rue Sainte-Anne;21000;;NON;Site des musees de Bourgogne;;
BOURGOGNE;COTE D’OR;DIJON;Musee Magnin;4, rue des Bons Enfants;21000;;NON;www.musee-magnin.fr;01/01,01/04,25/12;
BOURGOGNE;COTE D’OR;DIJON;Musee François Rude;8, Rue Vaillant;21000;;NON;;11/11,01/12-01/04;
BOURGOGNE;COTE D’OR;DIJON;Museum - Jardin des Sciences;Parc de l'Arquebuse 14, Rue Jehan de Marville;21000;;NON;www.dijon.fr;;
BOURGOGNE;COTE D’OR;DIJON Cedex;Musee des Beaux-Arts;Palais des Ducs et des Etats de Bourgogne B.P. 1510;21033;;NON;http://mba.dijon.fr ou www.ville-dijon.fr;;
BOURGOGNE;COTE D’OR;DIJON Cedex;Musee Archeologique;5, Rue du Docteur Maret B.P. 1510;21033;;NON;Site des musees de Bourgogne - www.musees-bourgogne.org;24/12,25/12;
BOURGOGNE;COTE D’OR;FIXIN;Musee Noisot;Clos Napoleon;21220;;NON;Site des musee de Bourgogne;;
BOURGOGNE;COTE D’OR;GEVREY-CHAMBERTIN - Reulle Vergy;Musee des Arts et Traditions des Hautes-COtes;1 PLACE DE LA FONTAINE;21220;;OUI;;;
BOURGOGNE;COTE D’OR;MONTBARD;Musee des Beaux-Arts;Chapelle des Ursulines Rue Piron;21500;;NON;http://www.montbard.com/;24/12,25/12,11/11;
BOURGOGNE;COTE D’OR;MONTBARD cedex;Musee Buffon;Anciennes Ecuries de Buffon B.P. 90;21506;;NON;http://www.montbard.com/ ou Site des musees de Bourgogne;24/12,25/12;
BOURGOGNE;COTE D’OR;NUITS-SAINT-GEORGES;Musee Municipal;12, Rue Camille Rodier;21700;;NON;Site des musees de Bourgogne;;
BOURGOGNE;COTE D’OR;SAULIEU;Musee Municipal François Pompon;3, Place du Docteur Roclore;21210;;NON;Site des musees de Bourgogne ou www.saulieu.fr;;
BOURGOGNE;COTE D’OR;SEMUR-EN-AUXOIS;Musee Municipal;3, Rue Jean-Jacques Collenot;21140;;NON;Site des musees de Bourgogne;24/12,25/12;
BOURGOGNE;NIEVRE;CHATEAU-CHINON;Musee du Costume;16-18, rue Saint Christophe;58120;;NON;www.cg58.fr/patrimoi/costu.htm;24/12,25/12,11/11;
BOURGOGNE;NIEVRE;CHATEAU-CHINON;Musee du Septennat;6, rue du Château;58120;;NON;www.cg58.fr;;
BOURGOGNE;NIEVRE;CLAMECY;Musee d'Art et d'Histoire Romain Rolland;Avenue de la Republique;58500;;NON;www.musees-bourgogne.org;;
BOURGOGNE;NIEVRE;COSNE-SUR-LOIRE;Musee de la Loire de Cosne sur Loire;Place de la Resistance;58200;;NON;www.mairie-cosnessurloire.fr/Services/MUSEEE/ACCUEIL.htm;;
BOURGOGNE;NIEVRE;LA CHARITE-SUR-LOIRE;Musee Municipal;33, Rue des Chapelains;58400;;OUI;Site de l'OTSI ou des musees de Bourgogne;;
BOURGOGNE;NIEVRE;LA MACHINE;Musee de la Mine;1, Avenue de la Republique;58260;;NON;www.tourisme.cc-loire-foret.fr ou www.cg58.fr et Site des musees de Bourgogne;;
BOURGOGNE;NIEVRE;NEVERS;Musee de la Faïence Frederic Blandin;16, rue Saint-Genest;58000;;OUI;Site;01/01,01/04,25/12;
BOURGOGNE;NIEVRE;NEVERS;Musee Archeologique du Nivernais (Porte du Croux);Societe Nivernaise des Lettres et Sciences et Arts Rue de la Porte du Croux;58000;;OUI;Conseil general;;
